OXI_ID,CODIGO INMUEBLE COMPLETO,EMPRESA PROPIETARIA,TIPOLOGIA INMUEBLE,REFERENCIA CATASTRAL,CCAA,PROVINCIA,CIUDAD,DIRECCIÓN COMPLETA,CODIGO POSTAL,ASKING PRICE,NUMERO DORMITORIOS,NUMERO BAÑOS,SUPERFICIE,SITUACIÓN OCUPACIONAL,FIELD AGENT ASSIGNED,FASE JUDICIAL,CLIENTE ,TIPO DE OPERACIÓN,PUBLISHED,OFFER STATUS,IBI,GASTOS COMUNIDAD,RESERVA-ARRAS AGREEMENT,OFFER QUANTITY,OXI FEES,NET FEES OXI,FIELD AGENTE FEES,OXI FEES (VAT),FIELD AGENT FESS (VAT),FASE RESERVA,FASE PBC,NOTARY,COMENTARIOS,HONORARIOS,ACTIVO EN COLABORACIÓN,OCUPACIÓN,VULNERABILIDAD,COMENTARIO GENERAL
OXI_6965,60439964,,VIVIENDA,6489514DF3868G0023QZ,Cataluña,Barcelona,BADALONA,"RBLA. SANT JOAN, N.33-35, P.4, Po.1",8912,€149100.00,-,-,87,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6966,60447604,,VIVIENDA,6370605DF3867A0043IP,Cataluña,Barcelona,BADALONA,"CL. MAR TIRRENA, N.3, E.B, P.3, Po.2",8918,€353000.00,-,-,121.16,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6967,60454908,,VIVIENDA,6683504DF3868D0015WS,Cataluña,Barcelona,BADALONA,"CL. UNIO, N.66-70, P.PB, Po.4",8912,€274600.00,-,-,119.5,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6968,60450922,,VIVIENDA,9223821DF2892C0280QB,Cataluña,Barcelona,BARCELONA,"CL. MALLORCA, N.115-123, E.IZDA, P.5, Po.1",8036,€351500.00,-,-,117.29,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6969,60448901,,VIVIENDA,6313512CG7261S0033XM,Cataluña,Barcelona,CALAF,"CL. JOSEP TORRA I CLOSA, N.5, E.A, P.3, Po.1",8280,€80300.00,-,-,95,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6970,60490619,,VIVIENDA,4505036CF9740N0001TQ,Cataluña,Barcelona,CANYELLES,"PJE. RONDA DEL PINS, N.2",8811,€229300.00,-,-,193,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6971,60527249,,VIVIENDA,3596369CF9639N0001AU,Cataluña,Barcelona,CANYELLES,"CL. BEETHOVEN, N.49, P.PARC, Po.811",8811,€150900.00,-,-,166.8,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6972,60470175,,VIVIENDA,3211312CF9831S0001LR,Cataluña,Barcelona,"GRANADA, LA","CL. PAU CASALS, N.13",8792,€415300.00,-,-,653,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6973,60451639,,VIVIENDA,6803941DF2860D0025MO,Cataluña,Barcelona,"HOSPITALET DE LLOBREGAT, L'","CL. MOSSEN JAUME BUSQUETS, N.37, P.AT, Po.2",8903,€75100.00,-,-,50,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
OXI_6974,60452441,,VIVIENDA,5392312DF2759C0006TH,Cataluña,Barcelona,"HOSPITALET DE LLOBREGAT, L'","CL. SAURI, N.23, P.1",8901,€157400.00,-,-,91,Okupado ,,,CORAL HOMES,REO SIN POSESION,,,,,,,0,0,0,0,0,,,,,SI,,,,
